catchment_id,train_coverage,validation_coverage,test_coverage,train_q95_m3_s,train_high_flow_days,validation_high_flow_days,test_high_flow_days,nonzero_train_days,negative_values,selection_score
06006,1.0,1.0,0.6861993428258488,1004.3029999999999,329,106,45,6575,0,0.6861993428258488
06008,1.0,1.0,0.6861993428258488,1172.259999999997,329,70,44,6575,0,0.6861993428258488
07002,1.0,1.0,0.9830230010952903,701.4099999999995,329,50,41,6575,0,0.9830230010952903
07005,1.0,1.0,0.976998904709748,152.80199999999974,329,73,56,6575,0,0.976998904709748
07007,1.0,1.0,1.0,1713.2609999999993,329,85,78,6575,0,1.0
07008,1.0,1.0,0.9994523548740416,688.1799999999996,329,42,17,6575,0,0.9994523548740416
07009,1.0,1.0,0.9989047097480832,2293.19999999999,329,46,42,6575,0,0.9989047097480832
07015,1.0,1.0,1.0,291.80199999999974,329,77,51,6227,0,1.0
08003,1.0,0.9994523548740416,1.0,417.35599999999886,329,47,46,6575,0,0.9994523548740416
08006,1.0,1.0,0.9835706462212487,3135.38699999997,329,99,54,6575,0,0.9835706462212487
09001,1.0,1.0,0.9846659364731654,197.14999999999964,329,121,167,4796,0,0.9846659364731654
09002,1.0,1.0,0.952354874041621,287.45999999999987,329,126,148,4774,0,0.952354874041621
09005,1.0,1.0,0.5613362541073385,17.925999999999988,329,18,27,999,0,0.5613362541073385
09008,1.0,1.0,0.6007667031763417,9.218999999999978,329,140,8,2430,0,0.6007667031763417
09011,1.0,0.9978094194961665,0.531763417305586,3.7989999999999053,329,14,33,633,0,0.531763417305586
09012,1.0,1.0,0.5071193866374589,14.825999999999986,329,13,3,1667,0,0.5071193866374589
10005,1.0,0.8866374589266156,0.32858707557502737,14.13899999999976,329,161,124,4985,0,0.32858707557502737
10008,1.0,1.0,0.9337349397590361,469.08759999999904,329,141,94,6575,0,0.9337349397590361
10010,1.0,0.9808324205914567,0.8088718510405257,145.8,328,262,179,4498,0,0.8088718510405257
10013,1.0,1.0,0.9605695509309967,42.79699999999964,329,93,70,6442,0,0.9605695509309967
12004,1.0,0.8866374589266156,0.8044906900328587,1367.8999999999905,329,79,39,6575,0,0.8044906900328587
12006,1.0,1.0,0.9742606790799562,90.19399999999979,329,130,94,6568,0,0.9742606790799562
12012,1.0,1.0,0.9353778751369113,118.15999999999985,329,143,81,6575,0,0.9353778751369113
12016,1.0,0.8406352683461117,0.9748083242059146,165.2399999999994,329,92,49,6575,0,0.8406352683461117
12025,1.0,1.0,0.9863088718510405,3372.0999999999876,329,96,37,6575,0,0.9863088718510405
12026,1.0,1.0,1.0,2828.3559999999993,329,100,16,6575,0,1.0
12035,1.0,1.0,0.97973713033954,3826.199999999997,329,96,20,6575,0,0.97973713033954
12036,1.0,1.0,0.984118291347207,448.619999999999,329,53,11,6575,0,0.984118291347207
12038,1.0,1.0,0.9983570646221248,359.9299999999999,329,90,59,6575,0,0.9983570646221248
12046,1.0,1.0,0.9994523548740416,1939.6999999999935,329,110,36,6575,0,0.9994523548740416
15003,1.0,1.0,0.9600219058050383,22.52,328,98,67,6556,0,0.9600219058050383
15005,1.0,1.0,0.872946330777656,245.21999999999971,329,79,62,5241,0,0.872946330777656
15007,1.0,1.0,0.8077765607886089,81.1369999999995,329,56,47,4801,0,0.8077765607886089
15008,1.0,1.0,0.7623220153340635,1612.4999999999964,329,99,65,5190,0,0.7623220153340635
15009,1.0,1.0,0.9556407447973713,331.8249999999995,329,94,57,5753,0,0.9556407447973713
15010,1.0,1.0,0.9994523548740416,228.78999999999976,329,91,60,6575,0,0.9994523548740416
15011,1.0,1.0,0.8592552026286966,146.5,328,72,77,4574,0,0.8592552026286966
15012,1.0,1.0,0.8258488499452354,233.08099999999908,329,82,103,5812,0,0.8258488499452354
15013,1.0,1.0,0.7573932092004381,181.879,329,75,66,4381,0,0.7573932092004381
15014,1.0,1.0,0.9184008762322016,232.14999999999964,329,83,106,5381,0,0.9184008762322016
15016,1.0,0.9107338444687842,0.6555312157721797,632.1999999999992,329,45,98,6200,0,0.6555312157721797
15017,1.0,1.0,0.7798466593647316,600.2399999999994,329,89,78,5163,0,0.7798466593647316
15019,1.0,1.0,0.8532311062431545,449.7689999999998,329,87,55,5620,0,0.8532311062431545
15020,1.0,1.0,0.9145673603504929,127.51199999999967,329,52,75,5731,0,0.9145673603504929
15021,1.0,1.0,0.9414019715224534,723.2699999999986,329,95,66,6575,0,0.9414019715224534
15022,1.0,1.0,0.9654983570646222,134.42999999999992,329,75,123,6575,0,0.9654983570646222
15023,1.0,1.0,0.9457831325301205,576.9659999999989,329,79,82,6574,0,0.9457831325301205
15024,1.0,1.0,0.93921139101862,233.419999999999,329,81,64,6507,0,0.93921139101862
15026,1.0,1.0,0.9293537787513692,465.5899999999998,329,91,54,6575,0,0.9293537787513692
15030,1.0,1.0,0.8422782037239869,153.24999999999963,329,53,42,5713,0,0.8422782037239869
15032,1.0,1.0,0.8877327491785323,233.47999999999956,329,89,70,5391,0,0.8877327491785323
16007,1.0,0.8324205914567361,0.9972617743702081,338.38219999999916,329,71,93,6550,0,0.8324205914567361
16014,1.0,0.9906900328587076,0.9879518072289156,330.19499999999954,329,136,68,6407,0,0.9879518072289156
17003,1.0,1.0,0.5815991237677984,6.992999999999993,329,7,29,2692,0,0.5815991237677984
17006,1.0,1.0,0.9561883899233297,33.72399999999995,329,33,124,4208,0,0.9561883899233297
17007,1.0,1.0,0.6681270536692223,1.58,328,27,24,1660,0,0.6681270536692223
17009,1.0,1.0,0.5049288061336255,36.14399999999987,329,96,26,877,0,0.5049288061336255
