catchment_id,model,n,mae,rmse,nse,kge,bias
04030,persistence,1427,14.611058244942448,99.33816634215924,0.5328674266916551,0.7664324164134941,0.005648213286623724
04038,xgboost,1596,21.308969420400597,108.23753412886387,0.6707395761327034,0.6807519975267451,-7.703692037679471
04038,lstm,1596,30.09752902316681,133.18580763828746,0.5014604113925061,0.6767211133531766,-6.882405796716163
04038,persistence,1596,25.155213100270817,134.16679882392702,0.4940892947880243,0.7470446473940127,0.0
04054,xgboost,1753,13.626956995972362,75.41455727866851,0.8327170402395059,0.777113478009168,-5.957983712984258
04054,lstm,1753,21.424205400895474,99.98474067341539,0.7059583973023433,0.6066165428487478,-10.3932057014038
04054,persistence,1753,13.956554406313508,86.34639287075491,0.7807044942332936,0.8903522471166468,0.0
04061,xgboost,1795,4.205975119559807,32.05721981801493,0.7237416475235064,0.5497325560670048,-2.4324723982300207
04061,lstm,1795,6.007265988531883,31.90666869388634,0.7263303525522327,0.5616053662457026,-1.7696682234328438
04061,persistence,1795,4.840055724438851,32.60019757993507,0.7143039923830279,0.8571519961915139,0.0
04062,xgboost,1495,158.05040858461086,1288.6523184412376,0.4202330332791355,0.44354202684370836,-61.12787190063911
04062,lstm,1495,353.49342300466895,3185.939204359921,-2.5436997372091144,-0.5873475390774621,212.30782198712205
04062,persistence,1495,145.2085614023998,1403.5173986560894,0.31227066490921584,0.6561331828297285,0.12334448517764292
04063,xgboost,1795,27.362359926766985,95.13043893919884,0.7601400837234505,0.8311002596881829,3.552978161486611
04063,lstm,1795,33.652212042396776,108.75966243289548,0.6864878484964632,0.8023725830644097,6.83884682602205
04063,persistence,1795,22.7217493365402,107.13257210082226,0.6957982275437979,0.8478991137718991,0.0
04064,xgboost,1691,27.43632526953018,137.1348947597473,0.7550179088506338,0.8501963303940507,-4.494008884765953
04064,lstm,1691,35.45950161584167,143.53257408928638,0.7316266858930167,0.8438092208921474,-1.1760109154907363
04064,persistence,1691,27.382312575012605,147.97067921811035,0.7147736023433832,0.8573886603979082,-0.051028977478135625
05002,xgboost,1467,29.650468756503496,82.0509458551925,0.8277768582538116,0.9067893533953363,0.5659288478601096
05002,lstm,1467,37.957450474413704,85.33421234141186,0.813718085708179,0.8804395247004909,8.515861365977159
05002,persistence,1467,30.847668573818975,88.20278830960164,0.800983560231255,0.90048866813872,0.015807770025023166
05010,xgboost,1104,13.041441198602227,40.64238230026954,0.9254886887172473,0.9023573397296043,-3.516984375951517
05010,lstm,1104,20.211729456387136,48.10510131305933,0.8956130615850217,0.9155376941863763,0.2750165866876858
05010,persistence,1104,16.429166597894568,52.556818303120075,0.8753988574043137,0.9377047189054712,0.06318840686825739
05013,xgboost,1362,14.458244988380594,35.0039410725991,0.9074378221270198,0.9491047146876754,1.271698859033766
05013,lstm,1362,17.10571596741939,37.67296523046419,0.8927840776903394,0.9045984793041536,0.35706030860783944
05013,persistence,1362,15.650352606951929,40.802479459982344,0.8742312379864734,0.9371136886464356,0.006740087279489212
05018,xgboost,1347,3.3663880533978197,16.709154594177043,0.3107870129141582,0.6228077198976306,0.032546171867116544
05018,lstm,1347,8.674919196784098,21.83404719147889,-0.1768279850187897,0.22712538951242212,6.11241065902717
05018,persistence,1347,3.2469339357452562,15.566112583889598,0.40185726453964277,0.7009335970629254,0.0026280623324818316
05022,xgboost,1347,2.6189586823410425,4.68651052524872,0.38574736290508616,0.6749449851115539,0.4587452797618769
05022,lstm,1347,5.5746083600528165,8.223842787488485,-0.8914611921607098,0.19371558554224988,4.475821416932916
05022,persistence,1347,2.5467483241556303,4.850307228072804,0.3420599351469943,0.6709620389117226,0.003080920281017278
06001,xgboost,1826,26.58940695809024,138.88604268871623,0.6852940689580576,0.6701873108054859,-7.60299644740237
06001,lstm,1826,37.5906375262719,201.567687797738,0.3371281923905567,0.6399618197485386,7.54276539240061
06001,persistence,1826,33.841572010634636,165.51042566330324,0.553071107005974,0.7765340976854593,0.0058324203825467
07002,xgboost,1503,27.676975309446203,199.56895578981562,0.600438920129725,0.5715533746740964,-7.726947571848666
07002,lstm,1503,39.810344741254035,237.365501808136,0.434760624570948,0.7211943418408597,5.353898316324352
07002,persistence,1503,35.71450416484993,264.28367267564516,0.2992907103710145,0.6496416873885489,0.01552894094826298
