FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,geometry_lon,geometry_lat,event_date,exact_duplicate,proxy_storm_group
262,Biharprabha News,https://news.biharprabha.com/2018/10/national-highway-305-blocked-after-landslide-in-hps-mandi/,14125,1539043200000.0,unknown,Bali Chowki Landslide,National Highway 305 between Rampur and Aut blocked at Bali Chowki after landslide. The area has frequent landslides due to monsoon rain and flash flooding.,"NH-305 between Rampur and Aut, at Bali Chowki",5km,landslide,rain,small,above_road,0,0, , , ,GLC, ,31.6891217,77.27867699,India,IN,Himachal Pradesh,Manglaor,6.4,1590796800000.0,1606348800000,77.2786769910001,31.6891216980001,2018-10-09 00:00:00+00:00,False,prox:63:154:5937
266,The Tribune,https://www.tribuneindia.com/news/archive/himachal/sangla-cut-off-after-landslide-636348,14146,1534032000000.0,16:00,Sangla Valley Landslide,A landslide in the Sangla valley blocked the highway. Karcham-Sangla road was blocked after rain.,Karcham-Sangla road,25km,landslide,rain,medium,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg13_Monday_2018_000035434.jpg, ,GLC, ,31.42500223,78.26035019,India,IN,Himachal Pradesh,Oling,12.81,1589500800000.0,1606348800000,78.2603501900001,31.4250022250001,2018-08-12 00:00:00+00:00,False,prox:62:156:5918
326,The News Minute,https://www.thenewsminute.com/article/kerala-floods-he-lost-his-daughter-home-and-farm-farmer-won-t-give-88136,14371,1536624000000.0,unknown,Kakka City Landslide,A man's farm was destroyed by a landslide following the August rains and flooding in Kerala. He moved to Kakka City after a landslide destroyed his home in Vimala City.,"Kakka City, Konnathady Panchayat, Idukki District, Kerala",1km,landslide,continuous_rain,unknown,natural_slope,0,0, ,https://www.thenewsminute.com/sites/all/var/www/images/WhatsApp%20Image%202018-09-10%20at%2019_02_32.jpeg, ,GLC, ,9.94953321,77.04450096,India,IN,Kerala,Devikolam,14.34,1594771200000.0,1606348800000,77.044500956,9.94953321400004,2018-09-11 00:00:00+00:00,False,prox:19:154:5928
338,The Hindu,https://www.thehindu.com/news/cities/Mangalore/family-evacuated-as-landslip-cuts-them-off-main-road/article24735022.ece,14290,1534723200000.0,unknown,Puttila in Bilinele village of Puttur taluk Landslide,A landslide cut off the road in Puttila in Bilinele village of Puttur taluk that caused a farmer and his family to be trapped.,"Puttila in Bilinele village of Puttur taluk, Karnataka, IND",25km,landslide,rain,medium,below_road,0,0, ,https://th.thgim.com/news/cities/Mangalore/k4hur3/article24735021.ece/ALTERNATES/FREE_960/20BGMANGLANDSLIP, ,GLC, ,12.71770821,75.56314853,India,IN,Karnataka,Panaje,10.63,1598227200000.0,1606348800000,75.5631485280001,12.717708209,2018-08-20 00:00:00+00:00,False,prox:25:151:5921
349,The Hindu,https://www.thehindu.com/news/national/karnataka/vs6bs6/article24844893.ece,14452,1535760000000.0,unknown,Landslip Sakleshpur - Somwarpet,Landslip occurred on the road connecting Hijjanahalli in Sakleshpur and Somwarpet in Kodagu.,"Sakleshpur - Somwarpet, Karnataka, IND",25km,landslide,monsoon,medium,above_road,0,0, ,https://th.thgim.com/news/national/karnataka/vs6bs6/article24844893.ece/alternates/FREE_660/02BGHASSANHIJJANAHALLI2, ,GLC, ,12.62707413,75.93057115,India,IN,Karnataka,Somvarpet,9.92,1595203200000.0,1606348800000,75.9305711530001,12.6270741330001,2018-09-01 00:00:00+00:00,False,prox:25:151:5925
354,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-shimla-hatkoti-road-646780,14325,1535846400000.0,unknown,Nihari Landslide,Landslide triggered by rains blocked the Shimla-Hatkoti road near Nihari.,"Nihari, Himachal Pradesh",1km,landslide,rain,unknown,above_road,0,0, , , ,GLC, ,31.10756408,77.21537742,India,IN,Himachal Pradesh,Simla,13.97,1595203200000.0,1606348800000,77.2153774210001,31.1075640820001,2018-09-02 00:00:00+00:00,False,prox:62:154:5925
356,The Hindu,https://www.thehindu.com/news/national/kerala/xoeypv/article24835915.ece,14413,1535155200000.0,unknown,Munnar Road Landslip,"Road damaged by landslip near Munnar in Idukki, Kerala during monsoon season.","Munnar, Devikulam, Idukki, Kerala",10km,landslide,monsoon,small,above_road,0,0, ,https://th.thgim.com/news/national/kerala/xoeypv/article24835915.ece/alternates/FREE_660/31TVMUNNAR, ,GLC, ,10.08673984,77.06304483,India,IN,Kerala,Devikolam,5.34,1595289600000.0,1606348800000,77.0630448270001,10.086739836,2018-08-25 00:00:00+00:00,False,prox:20:154:5922
358,The Hindu,https://www.thehindu.com/news/national/kerala/rain-eases-but-idukki-still-on-the-edge/article24732419.ece,14385,1534636800000.0,unknown,Kumily Panchayat Waste Management Plant Landslide,A landslide hit the Kumily Panchayat Waste Management Plant which caused waste to wash downhill and accumulate in low-lying areas.,"Kumily, Peerumade, Idukki, Kerala",5km,landslide,rain,medium,natural_slope,0,0, , , ,GLC, ,9.61891211,77.14082618,India,IN,Kerala,Gudalur,13.5,1598227200000.0,1606348800000,77.1408261820001,9.61891211400007,2018-08-19 00:00:00+00:00,False,prox:19:154:5920
364,The Hindu,https://www.thehindu.com/news/national/kerala/a-herculean-task-awaits-ksrtc/article24852485.ece,14363,1534550400000.0,unknown,Vellayamkudy Landslide,Landslide triggered by rain and flooding at Vellayamkudy near Kattappana on the Puliyanmala-Thodupuzha highway covered a workshop building and waiting shed in 12 feet of debris and destroyed another commercial building.,KSRTC bus depot,1km,landslide,rain,medium,above_road,0,0, ,https://th.thgim.com/news/national/kerala/vukxj7/article24852484.ece/ALTERNATES/FREE_660/20180901131053, ,GLC, ,9.76821399,77.10872715,India,IN,Kerala,Carda Mom Hills,14.26,1596931200000.0,1606348800000,77.108727152,9.76821399000005,2018-08-18 00:00:00+00:00,False,prox:19:154:5920
375,The Hindu,https://www.thehindu.com/news/national/tamil-nadu/landslips-reported-in-many-places-in-valparai-ghat-road/article24704101.ece,14394,1534464000000.0,05:00,Pollachi-Valparai Road landslides,"At the third bend in the road, a landslide occurred along a 1km strip. It took 3 hours to clear the road.","""Hairpin Bend 3"", SH-78, Valparai, Coimbatore, Tamil Nadu, 642105",25km,landslide,rain,medium,above_road,0,0, , ,Previously cataloged as 133108. Updated for location accuracy.,GLC, ,10.45147354,76.98339139,India,IN,Tamil Nadu,Anaimalai,15.19,1597622400000.0,1606348800000,76.9833913860001,10.451473541,2018-08-17 00:00:00+00:00,False,prox:20:153:5920
